declaration,primary_category,relation,source_id,upstream_module,upstream_declaration,evidence_path,evidence_start_line,evidence_end_line,note
TauCeti.LinearPMap.resolventSet,adapted_or_ported,adapted_definition,spectra,Spectra/Resolvent/Spectrum.lean,Spectra.Resolvent.resolventSet,ForTauCeti/Analysis/InnerProductSpace/LinearPMap/Resolvent.lean,50,63,Predicate substantially follows the Spectra definition; scalar/domain API was generalized.
TauCeti.LinearPMap.spectrum,adapted_or_ported,adapted_definition,spectra,Spectra/Resolvent/Spectrum.lean,Spectra.Resolvent.spectrum,ForTauCeti/Analysis/InnerProductSpace/LinearPMap/Resolvent.lean,50,77,Spectrum definition was adapted while changing the codomain from a real slice to the full scalar spectrum.
TauCeti.ProjValMeasure,copied_or_rehomed,copied_rehomed_structure,spectra,Spectra/ProjValMeasure/Basic.lean,Spectra.ProjValMeasure,ForTauCeti/Analysis/InnerProductSpace/ProjValMeasure/Basic.lean,37,48,Structure and basic implementation are documented as essentially verbatim and re-homed.
TauCeti.ProjValMeasure.mk,copied_or_rehomed,copied_rehomed_constructor,spectra,Spectra/ProjValMeasure/Basic.lean,Spectra.ProjValMeasure.mk,ForTauCeti/Analysis/InnerProductSpace/ProjValMeasure/Basic.lean,37,48,Constructor belongs to the copied/re-homed projection-valued-measure structure.
TauCeti.ProjValMeasure.proj,copied_or_rehomed,copied_rehomed_definition,spectra,Spectra/ProjValMeasure/Basic.lean,Spectra.ProjValMeasure.proj,ForTauCeti/Analysis/InnerProductSpace/ProjValMeasure/Basic.lean,37,48,Projection accessor belongs to the copied/re-homed PVM implementation.
TauCeti.LinearPMap.negI_mem_resolventSet,project_with_formal_reference,theorem_selection_reference,spectra,Spectra/Resolvent/Spectrum.lean,Spectra.Resolvent.mem_resolventSet_of_im_ne_zero,ForTauCeti/Analysis/InnerProductSpace/LinearPMap/SelfAdjointResolvent.lean,31,41,Spectra identified the criterion; the repository explicitly states the proof was independently written against Mathlib's LinearPMap API.
TauCeti.LinearPMap.spectralPVM,project_with_formal_reference,independent_replacement_of_formal_endpoint,spectra,Spectra/QuantumMechanics/SpectralTheory.lean,Spectra.QuantumMechanics.SpectralTheory.spectralPVM,ForTauCeti/Analysis/InnerProductSpace/LinearPMap/SpectralMeasure/Construction.lean,45,72,Current Cayley-transform construction is documented as new and independent while replacing the Spectra endpoint.
TauCeti.DavisKahan.spectraPolarIsometry,project_with_formal_reference,historical_formal_ancestry_replaced,spectra,Spectra/QuantumMechanics/Channels/PolarDecomp.lean,Spectra.QuantumMechanics.Channels.polarIsometry,DavisKahan/Geometry/Polar/OperatorAbsoluteValue.lean,19,38,Historical Spectra alias was replaced by the native ForTauCeti polar decomposition; the legacy name remains.
TauCeti.DavisKahan.addBounded_isSelfAdjoint,adapted_or_ported,generalized_formal_result,spectra,Spectra/Operator/Bounded.lean,Spectra.Operator.SelfAdjointOperator.ofBounded,ForTauCeti/Analysis/InnerProductSpace/LinearPMap/Constructions.lean,28,47,The underlying bounded self-adjoint perturbation fact is explicitly ported/generalized from Spectra; the DK theorem is the source-facing wrapper.
TauCeti.DavisKahan.selfAdjointSpectralProjection,project_with_formal_reference,historical_formal_ancestry_replaced,spectra,Spectra/QuantumMechanics/SpectralTheory.lean,Spectra.QuantumMechanics.SpectralTheory.spectralProjection,DavisKahan/SpectralTheory/SpectralRestriction.lean,29,45,The former Spectra-backed projection was replaced by the project's native spectralPVM while preserving the downstream statement.
TauCeti.DavisKahan.selfAdjointSpectralSubspace,project_with_formal_reference,historical_formal_ancestry_replaced,spectra,Spectra/QuantumMechanics/SpectralTheory.lean,Spectra.QuantumMechanics.SpectralTheory.spectralProjection,DavisKahan/SpectralTheory/SpectralRestriction.lean,29,45,The current spectral subspace is a local wrapper over the native spectral measure; source comments preserve the former Spectra route.
TauCeti.DavisKahan.selfAdjointSpectralSubspace_hasOrthogonalProjection,project_with_formal_reference,historical_formal_ancestry_replaced,spectra,Spectra/QuantumMechanics/SpectralTheory.lean,Spectra.QuantumMechanics.SpectralTheory.spectralProjection,DavisKahan/SpectralTheory/SpectralRestriction.lean,29,45,Current proof is native but the preserved provenance records the replaced Spectra projection route.
TauCeti.DavisKahan.selfAdjointSpectralRestriction,project_with_formal_reference,historical_formal_ancestry_replaced,spectra,Spectra/Resolvent/Generator.lean,Spectra.Resolvent.generator_isSelfAdjoint,DavisKahan/SpectralTheory/SpectralRestrictionOperator.lean,17,36,Former Stone-generator construction was replaced by a direct native spectral-range restriction; the exported object remains source-facing compatible.
