candidate_id,screened_on,date,author,title,source_type,source_url,citation_key,discovery_route,decision,decision_reason,duplicate_of
kahle_bei,2026-09-08,2026-05-04,Thomas Kahle,Auto-formalization I: Keep Trying,blog,https://thomas-kahle.de/blog/2026/auto-formalization-1-keep-trying/,kahle2026keeptrying,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
saiki_double_rounding,2026-09-08,2026-05-19,Brett Saiki,Autoformalizing Double Rounding,blog,https://uwplse.org/2026/05/19/autoformalize.html,saiki2026double,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
ilin_vml,2026-09-08,2026-03-16,Vasily Ilin,Semi-Autonomous Formalization of the Vlasov-Maxwell-Landau Equilibrium,paper,https://arxiv.org/abs/2603.15929,ilin2026vml,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
sergey_move,2026-09-08,2026-03-18,Ilya Sergey,Verifying Move Borrow Checker in Lean: an Experiment in AI-Assisted PL Metatheory,blog,https://proofsandintuitions.net/2026/03/18/move-borrow-checker-lean/,sergey2026move,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
miller_vlasov,2026-09-08,2026-07-09,Joseph K. Miller,A Formalization of the Mean-Field Derivation of the Vlasov Equation: AI-Assisted Lean Formalization as a Strategy Game,paper,https://arxiv.org/abs/2607.08986,miller2026vlasov,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
armstrong_homogenization,2026-09-08,2026-06-15,Scott Armstrong and Tuomo Kuusi,Formalizing Stochastic Homogenization in Lean,blog,https://www.scottnarmstrong.com/2026/06/formalizing-stochastic-homogenization-in-lean/,armstrong2026homogenization,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
tao_sendov,2026-09-08,2026-08-10,Terence Tao,Sendov formalization making-of,repository_transcript,https://github.com/teorth/sendov/blob/master/docs/making-of.md,tao2026sendov,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
nowak_tcs,2026-09-08,2026,Thomas Nowak,Post on a Codex-to-Claude Lean verification workflow,social_post,https://www.linkedin.com/posts/nowathom_a-few-days-ago-jukka-suomela-posted-about-activity-7428414495590400000-YJ2A,nowak2026workflow,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
suomela_loop,2026-09-08,2026,Jukka Suomela,Post describing a solve-formalize-fix loop,social_post,https://www.linkedin.com/posts/jukkasuomela_it-is-surprising-how-well-this-simple-scheme-activity-7425924723697610752-md-Q,suomela2026workflow,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
kovac_erdos189,2026-09-08,2025-12-17,Vjekoslav Kovač,Erdos Problem 189 discussion,forum_post,https://www.erdosproblems.com/forum/thread/189,kovac2025erdos189,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
enomoto_quotient,2026-09-08,2026-08,Haruhisa Enomoto,I Quit Math Then Wrote a Paper with AI,essay,https://haruhisa-enomoto.github.io/quotient-submodule-equidistribution-essay/index.html,enomoto2026essay,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
oum_preprint,2026-09-08,2026-04-05,Sang-il Oum,Formalizing a recent preprint in Lean with Aristotle,blog,https://sangil.dimag.kr/2026/formalizing-my-recent-preprint/,oum2026preprint,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
hirai_fri,2026-09-08,2026-01-26,Yoichi Hirai,Lean4 formalization of A Simplified Round-by-round Soundness Proof of FRI,blog,https://blog.zksecurity.xyz/posts/simple-rbr-fri/,hirai2026fri,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
robertj_ac,2026-09-08,2026,Robert J. and collaborators,Formalizing the Andrews-Curtis Conjecture,blog,https://www.robertj1.com/ai4science/ac-conjecture-aristotle/,robertj2026ac,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
ennis_math,2026-09-08,2026-07-21,John Ennis,My Experiences Using AI for Math,essay,https://www.linkedin.com/pulse/my-experiences-using-ai-math-john-ennis-uauwe,ennis2026experience,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
gowers_leiden,2026-09-08,2026-07-26,Timothy Gowers,Thoughts about the Leiden Declaration,blog,https://gowers.wordpress.com/2026/07/26/thoughts-about-the-leiden-declaration/,gowers2026leiden,preexisting_snapshot,include_account,Public first-person account already present in the pre-expansion paper snapshot.,
