corpus,source_id,source_anchor,title,source_kind,source_relation,source_unit_role,verification,disposition,root_declaration,registry_path
YWS2015,YWS-S1-principal-angles,"Section 1, principal angles and sin-Theta","Principal angles, sin-Theta, and the Frobenius sine identity",definition,published_source,supporting_source_surface,proved_in_build,compiled_generalized,TauCeti.sinThetaFrobenius,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-principal-angles,"Section 1, principal angles and sin-Theta","Principal angles, sin-Theta, and the Frobenius sine identity",definition,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.sinThetaSq_eq_sinThetaFrobenius_sq_of_spans,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-principal-angles,"Section 1, principal angles and sin-Theta","Principal angles, sin-Theta, and the Frobenius sine identity",definition,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.sinThetaFrobenius_eq_sqrt_sum_cross,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-complement-identity,"Section 1, orthogonal complement identity","‖V_1^T V-hat‖_F = ‖sin Theta(V-hat, V)‖_F",identity,published_source,supporting_source_surface,proved_in_build,compiled_generalized,YuWangSamworth2015.sinThetaFrobenius_eq_sqrt_sum_cross,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,TauCeti.sum_sq_norm_aligned_le,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,TauCeti.sum_sq_norm_aligned_le_sinThetaSq,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.exists_aligned_orthonormalBasis,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.frameComp,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.frameComp_apply,dev/yu-wang-samworth-2015-full-source-census.json
YWS2015,YWS-S1-procrustes,"Section 1, Procrustes alignment",Procrustes alignment: ‖V-hat O - V‖_F <= sqrt 2 ‖sin Theta‖_F,lemma,published_source,result,proved_in_build,compiled_generalized,YuWangSamworth2015.orthonormal_frameComp,dev/yu-wang-samworth-2015-full-source-census.json
