account_id,account_kind,practitioner_cluster,project_cluster,date,author,title,target,reported_lean_experience,reads_generated_lean,multiple_ai_tools,separate_ai_review,semantic_mismatch,source_defect_found,counterexample_used,persistent_project_state,posthoc_understanding,human_role,observation,account_note,primary_source_id
kahle_bei,practitioner_account,kahle_bei,kahle_bei,2026-05-04,Thomas Kahle,Auto-formalization I: Keep Trying,author's 2010 binomial-edge-ideals paper,learning,substantial,yes,no,unclear,no,no,yes,no,definition review; mathematical planning; agent orchestration; library-gap triage,"Kahle learned Lean while supervising Claude, spent significant time understanding definitions, later used a second LLM to prepare proof guides, and kept TODO/formalization-map state outside chat.",The post explicitly warns that generated definitions can drift toward easier goals; it does not give one isolated misformalized theorem that we code as a confirmed mismatch.,kahle_bei
saiki_double_rounding,practitioner_account,saiki_double_rounding,saiki_double_rounding,2026-05-19,Brett Saiki,Autoformalizing Double Rounding,author's rounding paper,novice,selective,no,no,yes,yes,yes,yes,no,statement review; definition repair; persistence; mathematical adjudication,Claude inserted additional hypotheses; attempts to remove them produced counterexamples that exposed an underspecified rounding definition and a real missing restriction in the paper.,The author states he had very little proof-assistant experience and describes a Markdown TODO used across context compaction.,saiki_double_rounding
ilin_vml,practitioner_account,vasily_ilin,ilin_vml,2026-03-16,Vasily Ilin,Semi-Autonomous Formalization of the Vlasov-Maxwell-Landau Equilibrium,contemporary mathematical physics result,not_reported,not_reported,yes,yes,yes,no,no,yes,no,high-level supervision; definition review; statement review; adversarial review,"A single mathematician supervised multiple AI systems, wrote zero code, archived prompts and commits, and reports hypothesis creep, definition-alignment bugs, agent avoidance, and adversarial self-review.",The abstract explicitly names these failure modes and the critical role of human review of key definitions and theorem statements.,ilin_vml
sergey_move,practitioner_account,sergey_move,sergey_move,2026-03-18,Ilya Sergey,Verifying Move Borrow Checker in Lean: an Experiment in AI-Assisted PL Metatheory,Move borrow-checker metatheory,expert,substantial,no,no,unclear,no,no,yes,no,proof architecture; diagnosing missing lemmas; representation design; stopping unproductive proof search,"Sergey reports a 39,000-line Lean development produced in under a month with Claude. When the agent looped for hours, he identified a missing weakening lemma; for enums, he supplied a representation that made the preservation property tractable.","The post is useful for the division of labor: routine proof repair and repeated cases went to the agent, while the human intervened on proof architecture and representation choices.",sergey_move
miller_vlasov,practitioner_account,miller_vlasov,miller_vlasov,2026-07-09,Joseph K. Miller,A Formalization of the Mean-Field Derivation of the Vlasov Equation: AI-Assisted Lean Formalization as a Strategy Game,Vlasov mean-field derivation,not_reported,not_reported,yes,no,no,no,no,yes,no,scope definitions; steer decomposition; library-gap triage,"The human directed rather than wrote proofs: scoping definitions, steering decomposition, and triaging library gaps. The paper explicitly leaves intended-statement judgment with the mathematician.","No specific semantic mismatch is reported in the abstract, so semantic_mismatch is coded no rather than inferred from the methodological warning.",miller_vlasov
armstrong_homogenization,practitioner_account,scott_armstrong,armstrong_homogenization,2026-06-15,Scott Armstrong and Tuomo Kuusi,Formalizing Stochastic Homogenization in Lean,authors' stochastic homogenization paper,not_reported,not_reported,yes,no,yes,no,no,yes,no,paper rewrite; theorem correspondence; supervision; library-gap triage,"The authors rewrote the theory as a self-contained manuscript, maintain theorem-by-theorem correspondence, and explicitly record Lean statements that are less general or carry additional hypotheses.",The post reports 449k lines of LLM-written Lean under human supervision and substantial missing background material.,armstrong_homogenization
tao_sendov,practitioner_account,tao_sendov,tao_sendov,2026-08-10,Terence Tao,Sendov formalization making-of,Sendov and Phelps-Rodriguez formalization,not_reported,not_reported,no,no,no,no,no,yes,no,target selection; representation choice; staged planning; design review,The curated transcript preserves dead ends and uses Git history as the authoritative chronology; staged plans and design records persist decisions outside the model context.,The repository states that essentially all Lean was written by Claude under the author's direction and review and that no external independent review had yet been performed.,tao_sendov
nowak_tcs,practitioner_account,nowak_tcs,nowak_tcs,2026,Thomas Nowak,Post on a Codex-to-Claude Lean verification workflow,TCS paper lemmas and theorem,none,selective,yes,yes,yes,no,no,no,no,agent orchestration; semantic review; human model/statement judgment,"ChatGPT first declared success without compiling. Codex then produced compiling Lean but introduced extra hypotheses. A separate Claude reviewer checked correspondence, weakening, and remaining sorrys.",Nowak says this was to his eyes having never read Lean before and says human review of the model and result statements remains essential.,nowak_tcs
suomela_loop,practitioner_account,suomela_loop,suomela_loop,2026,Jukka Suomela,Post describing a solve-formalize-fix loop,research math problems,not_reported,none,yes,no,no,no,no,no,yes,problem selection; post-hoc mathematical understanding,Suomela explicitly describes not looking at the Lean code and only paying close attention to the mathematical proof after the chatbot reaches a Lean formalization.,The source does not claim that Suomela lacks Lean expertise; only reads_generated_lean=none is coded from the explicit workflow description.,suomela_loop
kovac_erdos189,practitioner_account,kovac_erdos189,kovac_erdos189,2025-12-17,Vjekoslav Kovač,Erdos Problem 189 discussion,Erdos Problem 189,novice,none,yes,yes,qualified,no,no,no,no,blueprint writing; LLM back-translation; request for community review,"Kovač asked Aristotle to formalize a LaTeX blueprint, stripped links/comments, and asked Gemini to translate the main theorem back to English because he could not read Lean.",A follow-up by Tao reports that the separate Formal Conjectures statement was itself misformalized; this is coded qualified because it was not generated by Kovač's pipeline.,kovac_erdos189
