source_id,account_id,source_role,date,author,title,source_type,source_url,citation_key,first_person,public_artifact,build_provenance_available,supports_account_observation,evidence_scope,source_note
kahle_bei,kahle_bei,primary,2026-05-04,Thomas Kahle,Auto-formalization I: Keep Trying,blog,https://thomas-kahle.de/blog/2026/auto-formalization-1-keep-trying/,kahle2026keeptrying,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
saiki_double_rounding,saiki_double_rounding,primary,2026-05-19,Brett Saiki,Autoformalizing Double Rounding,blog,https://uwplse.org/2026/05/19/autoformalize.html,saiki2026double,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
ilin_vml,ilin_vml,primary,2026-03-16,Vasily Ilin,Semi-Autonomous Formalization of the Vlasov-Maxwell-Landau Equilibrium,paper,https://arxiv.org/abs/2603.15929,ilin2026vml,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
sergey_move,sergey_move,primary,2026-03-18,Ilya Sergey,Verifying Move Borrow Checker in Lean: an Experiment in AI-Assisted PL Metatheory,blog,https://proofsandintuitions.net/2026/03/18/move-borrow-checker-lean/,sergey2026move,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
miller_vlasov,miller_vlasov,primary,2026-07-09,Joseph K. Miller,A Formalization of the Mean-Field Derivation of the Vlasov Equation: AI-Assisted Lean Formalization as a Strategy Game,paper,https://arxiv.org/abs/2607.08986,miller2026vlasov,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
armstrong_homogenization,armstrong_homogenization,primary,2026-06-15,Scott Armstrong and Tuomo Kuusi,Formalizing Stochastic Homogenization in Lean,blog,https://www.scottnarmstrong.com/2026/06/formalizing-stochastic-homogenization-in-lean/,armstrong2026homogenization,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
tao_sendov,tao_sendov,primary,2026-08-10,Terence Tao,Sendov formalization making-of,repository_transcript,https://github.com/teorth/sendov/blob/master/docs/making-of.md,tao2026sendov,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
nowak_tcs,nowak_tcs,primary,2026,Thomas Nowak,Post on a Codex-to-Claude Lean verification workflow,social_post,https://www.linkedin.com/posts/nowathom_a-few-days-ago-jukka-suomela-posted-about-activity-7428414495590400000-YJ2A,nowak2026workflow,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
suomela_loop,suomela_loop,primary,2026,Jukka Suomela,Post describing a solve-formalize-fix loop,social_post,https://www.linkedin.com/posts/jukkasuomela_it-is-surprising-how-well-this-simple-scheme-activity-7425924723697610752-md-Q,suomela2026workflow,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
kovac_erdos189,kovac_erdos189,primary,2025-12-17,Vjekoslav Kovač,Erdos Problem 189 discussion,forum_post,https://www.erdosproblems.com/forum/thread/189,kovac2025erdos189,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
enomoto_quotient,enomoto_quotient,primary,2026-08,Haruhisa Enomoto,I Quit Math Then Wrote a Paper with AI,essay,https://haruhisa-enomoto.github.io/quotient-submodule-equidistribution-essay/index.html,enomoto2026essay,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
oum_preprint,oum_preprint,primary,2026-04-05,Sang-il Oum,Formalizing a recent preprint in Lean with Aristotle,blog,https://sangil.dimag.kr/2026/formalizing-my-recent-preprint/,oum2026preprint,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
hirai_fri,hirai_fri,primary,2026-01-26,Yoichi Hirai,Lean4 formalization of A Simplified Round-by-round Soundness Proof of FRI,blog,https://blog.zksecurity.xyz/posts/simple-rbr-fri/,hirai2026fri,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
robertj_ac,robertj_ac,primary,2026,Robert J. and collaborators,Formalizing the Andrews-Curtis Conjecture,blog,https://www.robertj1.com/ai4science/ac-conjecture-aristotle/,robertj2026ac,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
ennis_math,ennis_math,primary,2026-07-21,John Ennis,My Experiences Using AI for Math,essay,https://www.linkedin.com/pulse/my-experiences-using-ai-math-john-ennis-uauwe,ennis2026experience,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
gowers_leiden,gowers_leiden,primary,2026-07-26,Timothy Gowers,Thoughts about the Leiden Declaration,blog,https://gowers.wordpress.com/2026/07/26/thoughts-about-the-leiden-declaration/,gowers2026leiden,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
chow_aristotle,chow_aristotle,primary,2026-01,Timothy Chow,Aristotle waitlist discussion,zulip,https://leanprover-community.github.io/archive/stream/219941-Machine-Learning-for-Theorem-Proving/topic/Aristotle%27s.20waitlist.20is.20gone.html,chow2026aristotle,yes,unclear,unclear,yes,primary account coding,Primary source for the account row.
